Dispatch Advice & Supplier Invoice Report																																																	
Type of Item - [Component (2)]																																																	
Dispatch Advice Date - From:[01.01.2014]  TO: [06.03.2014]																																																	
																																																	
Dispatch Advice No	Supplier Invoice Number	Status	SAO	Port of Loading	Port of Discharge	Container Number(or AWB no if by Air)	Type of Container	Vessel Name&VoyageNo	Shipment Date	"Forwarder Ref. No. (Bill of Lading No, AWB No)"	Forwarder	Supplier Code	Suppler Name	Bill To Party Code	Bill to Party Name	Ship to Party Code	Ship to Party (Delivery Details)	Ship To Party Country	Create Date	Update Date	Updated By	Dispatch Advice Line No	Client P/O no	Customer Order Item Line No	PO No	Item Line no in PO	Schedule line no	CMMF	CMMF Descrption	Brand	Customs Code	Vendor Material No	Quantity Delivered	Unit	Gross Weight (KG)	Net Weight (KG)	Volume (CBM)	NB of Packages	The type of Packages	PCS PER PACKAGE	The Package Number Sequence From	The Package Number Sequence To	Pallet No	PO  Unit Price	Quantity Base (Per Unit Price)	Item Total	Charge / Discount	Remark	Amount
DA140000087053	33RE01375	Approved		BANGKOK	HAMBURG		LCL	PEAL RIVER BRIDGE  V.327S	22/12/2013	BKK0002261	DSV	10024527	MALAPLAST CO LTD	99001401	ROWENTA WERKE GMBH 	99001421	ROWENTA WERKE GMBH 	GERMANY	02.01.2014	02.01.2014	kks@malaplast.com	1	4500330739	000010	9322101813	00010	01	1103497744	DISPLAY LEFT DW9240/80	NON GR OEM	85169000		14960	PCE	48.36	19.90	0.63	22.00	CARTON	680.00	1.00	22.00		25.99	100	"3,898.50"			
DA140000087053	33RE01375	Approved		BANGKOK	HAMBURG		LCL	PEAL RIVER BRIDGE  V.327S	22/12/2013	BKK0002261	DSV	10024527	MALAPLAST CO LTD	99001401	ROWENTA WERKE GMBH 	99001421	ROWENTA WERKE GMBH 	GERMANY	02.01.2014	02.01.2014	kks@malaplast.com	2	4500330739	000010	9322101813	00010	01	1103497744	DISPLAY LEFT DW9240/80	NON GR OEM	85169000		40	PCE	1.35	0.05	0.03	1.00	CARTON	40.00	23.00	23.00		25.99	100	"3,898.50"			
DA140000087057	WM20140102-1	Approved	LEE CHRISTINE	YAN TIAN	LE HAVRE	CAXU4375863	FCL40	MSC RENEE/FL401R	06/01/2014		DSV	10019667	DS MOTOR WAYMAN ASIA LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014			1	413816/082	000001	9322125002	00010	01	8090568301	0568301 MOTEUR EQUIPE U5415	NON GR OEM	85012000		9984	PCE	"3,556.00"	"3,095.00"	6.9	416.00	CARTON	24.00	1.00	416.00	8.00	222.88	100	"22,252.34"			
DA140000087057	WM20140102-1	Approved	LEE CHRISTINE	YAN TIAN	LE HAVRE	CAXU4375863	FCL40	MSC RENEE/FL401R	06/01/2014		DSV	10019667	DS MOTOR WAYMAN ASIA LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014			2	412713/024	000001	9322125044	00010	01	8090568251	0568251 MOTEUR	NON GR OEM	85012000		4992	PCE	"2,125.00"	"1,897.00"	3.4	208.00	CARTON	24.00	1.00	208.00	4.00	248.38	100	"12,399.13"			
DA140000087057	WM20140102-1	Approved	LEE CHRISTINE	YAN TIAN	LE HAVRE	CAXU4375863	FCL40	MSC RENEE/FL401R	06/01/2014		DSV	10019667	DS MOTOR WAYMAN ASIA LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014			3	412959/064	000001	9322125093	00010	01	8090568200	0568200 MOTEUR	NON GR OEM	8501200090		14976	PCE	"6,395.00"	"5,691.00"	10.4	624.00	CARTON	24.00	1.00	624.00	12.00	248.37	100	"37,195.89"			
DA140000087057	WM20140102-1	Approved	LEE CHRISTINE	YAN TIAN	LE HAVRE	CAXU4375863	FCL40	MSC RENEE/FL401R	06/01/2014		DSV	10019667	DS MOTOR WAYMAN ASIA LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014			4	413852/015	000001	9322130248	00010	01	8090568509	0568509 COMPOSANT MOTEUR	NON GR OEM	8501200090		2496	PCE	900.00	749.00	1.9	104.00	CARTON	24.00	1.00	104.00	2.00	222.89	100	"5,563.33"			
DA140000087057	WM20140102-1	Approved	LEE CHRISTINE	YAN TIAN	LE HAVRE	CAXU4375863	FCL40	MSC RENEE/FL401R	06/01/2014		DSV	10019667	DS MOTOR WAYMAN ASIA LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014			5	412959/065	000001	9322130275	00010	01	8090568200	0568200 MOTEUR	NON GR OEM	8501200090		9984	PCE	"4,263.00"	"3,794.00"	6.9	416.00	CARTON	24.00	1.00	614.00	8.00	248.37	100	"24,797.26"			
DA140000087057	WM20140102-1	Approved	LEE CHRISTINE	YAN TIAN	LE HAVRE	CAXU4375863	FCL40	MSC RENEE/FL401R	06/01/2014		DSV	10019667	DS MOTOR WAYMAN ASIA LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014			6	413816/084	000001	9322130296	00010	01	8090568301	0568301 MOTEUR EQUIPE U5415	NON GR OEM	85012000		17472	PCE	"6,223.00"	"5,416.00"	12.1	728.00	CARTON	24.00	1.00	728.00	14.00	222.88	100	"38,941.59"			
DA140000087060	K140002	Completed		Shenzhen	France	UACU3213630	FCL20	CMA CGM THALASSA  622W	07/01/2014	HKG0126320	DSV	10020182	KIN SUN MOULDING LTD	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	02.01.2014	KIN SUN MOULDING LTD	1	26-21643/X153565	000001	9322126384	00010	01	1502643048	2643048 CHOPPER	NON GR OEM	8509900000		1400	PCE	"1,066.00"	914.00	4	78.00	CARTON	18.00	1.00	78.00	4.00	589.00	100	"8,246.00"			
DA140000087060	K140002	Completed		Shenzhen	France	UACU3213630	FCL20	CMA CGM THALASSA  622W	07/01/2014	HKG0126320	DSV	10020182	KIN SUN MOULDING LTD	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	02.01.2014	KIN SUN MOULDING LTD	2	26-21605/2EP1192	000001	9322128520	00010	01	1502642876	2642876 TRAY	NON GR OEM	8509900000		2592	PCE	"1,228.00"	"1,031.00"	6	108.00	CARTON	24.00	1.00	108.00	6.00	394.00	100	"10,212.48"			
DA140000087060	K140002	Completed		Shenzhen	France	UACU3213630	FCL20	CMA CGM THALASSA  622W	07/01/2014	HKG0126320	DSV	10020182	KIN SUN MOULDING LTD	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	02.01.2014	KIN SUN MOULDING LTD	3	26-21692/X184043	000001	9322144321	00010	01	1502643691	2643691 BASE ALU WITH BRAND	NON GR OEM	8509900000		2880	PCE	"1,764.00"	"1,322.00"	11	240.00	CARTON	12.00	1.00	240.00	10.00	518.40	100	"14,929.92"			
DA140000087062	JS1312056	Completed	LEE CHRISTINE	HONG KONG	LE HAVRE	CAIU8158057	FCL40HQ	CMA CGM JULES VERNE V.016N	07/01/2014	HKG0126065	DSV	10011961	JOIN STAR INDUSTRIAL LIMITED	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	10.01.2014	CLARA TSAI	1	414069/047	000001	9322130258	00010	01	8090697145	0697145 M1LM207EU230V2VBLC/K7025CB1VCE	NON GR OEM	8509900000		5760	PCE	"9,630.00"	"8,118.00"	65.52	60.00	PALLET	96.00	1.00	60.00		813.00	100	"46,828.80"			
DA140000087063	Q00002	Approved		HONG KONG	PARIS	NA	BY AIR	BY UPS	02/01/2014	1Z17E26F8899381773	Other	10002652	FOCUS & CO (FAR EAST) LTD. IS	99001501	ROWENTA FRANCE SAS BOITE POSTALE 815	99001520	ROWENTA FRANCE BOITE POSTALE 815	FRANCE	02.01.2014	02.01.2014	RAIN	1	201311077	000002	9322154129	00010	01	2210765128	765128 HEPA FILTER	NON GR OEM	8421392090		480	PCE	59.20	49.60	0.5	8.00	CARTON	60.00	1.00	8.00		134.20	100	671.00			
DA140000087063	Q00002	Approved		HONG KONG	PARIS	NA	BY AIR	BY UPS	02/01/2014	1Z17E26F8899381773	Other	10002652	FOCUS & CO (FAR EAST) LTD. IS	99001501	ROWENTA FRANCE SAS BOITE POSTALE 815	99001520	ROWENTA FRANCE BOITE POSTALE 815	FRANCE	02.01.2014	02.01.2014	RAIN	2	201311077	000002	9322154129	00010	01	2210765128	765128 HEPA FILTER	NON GR OEM	8421392090		20	PCE	2.80	2.00	0.05	1.00	CARTON	20.00	9.00	9.00		134.20	100	671.00			
DA140000087064	JS1312057	Completed	LEE CHRISTINE	HONG KONG	LE HAVRE	UACU8330834	FCL40	CMA CGM JULES VERNE V.016N	07/01/2014	HKG0126065	DSV	10011961	JOIN STAR INDUSTRIAL LIMITED	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	10.01.2014	CLARA TSAI	1	414069/046	000001	9322130288	00010	01	8090697145	0697145 M1LM207EU230V2VBLC/K7025CB1VCE	NON GR OEM	8509900000		2240	PCE	"3,906.00"	"3,116.40"	26.98	28.00	PALLET	80.00	1.00	28.00		813.00	100	"18,211.20"			
DA140000087064	JS1312057	Completed	LEE CHRISTINE	HONG KONG	LE HAVRE	UACU8330834	FCL40	CMA CGM JULES VERNE V.016N	07/01/2014	HKG0126065	DSV	10011961	JOIN STAR INDUSTRIAL LIMITED	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	10.01.2014	CLARA TSAI	2	415649/006	000001	9322130219	00010	01	8080012690	0A07882 MC800EU230V2VBLCNACR/70*30 EUR	NON GR OEM	8509900000		1008	PCE	"3,715.60"	"2,671.20"	27.41	28.00	PALLET	36.00	1.00	28.00		"2,395.00"	100	"24,141.60"			
DA140000087076	2013128	Completed	LEE CHRISTINE	"YANTIAN,CHINA"	"LE HAVRE,FRANCE"	MSKU9001913	FCL40HQ	MAERSK EDMONTON 1402	06/01/2014	SZX0075218	DSV	10025892	EXCELIGHT LIMITED	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	Excelight	1	415521/012	000001	9322129262	00010	01	8080012538	0A19080 SOUS ENS CACHE CONNEXION	NON GR OEM	8509900000		2352	PCE	"4,314.00"	"2,510.00"	55.08	56.00	CARTON	42.00	1.00	56.00	56.00	"1,658.87"	100	"39,016.62"			
DA140000087078	2013129	Completed	LEE CHRISTINE	"YANTIAN,CHINA"	"LE HAVRE,FRANCE"	MRKU4093690	FCL40HQ	MAERSK EDMONTON 1402	06/01/2014	SZX0075218	DSV	10025892	EXCELIGHT LIMITED	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	Excelight	1	415521/012	000001	9322129262	00010	01	8080012538	0A19080 SOUS ENS CACHE CONNEXION	NON GR OEM	8509900000		1968	PCE	"3,610.00"	"2,100.00"	46.09	47.00	CARTON	42.00	1.00	47.00	47.00	"1,658.87"	100	"32,646.56"			
DA140000087078	2013129	Completed	LEE CHRISTINE	"YANTIAN,CHINA"	"LE HAVRE,FRANCE"	MRKU4093690	FCL40HQ	MAERSK EDMONTON 1402	06/01/2014	SZX0075218	DSV	10025892	EXCELIGHT LIMITED	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	Excelight	2	414927/038	000001	9322124983	00010	01	8080011595	0A08303 COUV.ASS- BMX V2 BLEND-SOUP&CO	NON GR OEM	8509900000		1000	PCE	512.00	377.00	4.94	100.00	CARTON	10.00	1.00	100.00	5.00	342.33	100	"3,423.30"			
DA140000087078	2013129	Completed	LEE CHRISTINE	"YANTIAN,CHINA"	"LE HAVRE,FRANCE"	MRKU4093690	FCL40HQ	MAERSK EDMONTON 1402	06/01/2014	SZX0075218	DSV	10025892	EXCELIGHT LIMITED	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	Excelight	3	415692/026	000001	9322148377	00010	01	8080012775	0A14800 DRIP TRAY ASS. MILK BOX	NON GR OEM	8516900099		750	PCE	392.00	254.00	4.68	50.00	CARTON	15.00	1.00	50.00	4.00	333.21	100	"2,499.08"			
DA140000087086	I1400016	Approved		HONG KONG	FRLEH		LCL	MSC LA SPEZIA V.FT401R	09/01/2014	SEB-HKG0125172	DSV	10021016	MERCHANT CORPORATION LTD	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	02.01.2014	MERCHANT CORPORATION LTD	1	21-8493/X125937	000001	9322115375	00010	01	1502642404	2642404 INTERRUPTEUR GRIS HV8	NON GR OEM	8536508099		29600	PCE	407.00	377.40	1.232	37.00	CARTON	800.00	1.00	37.00		45.20	100	"13,560.00"			
DA140000087086	I1400016	Approved		HONG KONG	FRLEH		LCL	MSC LA SPEZIA V.FT401R	09/01/2014	SEB-HKG0125172	DSV	10021016	MERCHANT CORPORATION LTD	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	02.01.2014	MERCHANT CORPORATION LTD	2	21-8646/X183806	000001	9322144505	00010	01	1502642404	2642404 INTERRUPTEUR GRIS HV8	NON GR OEM	8536508099		29600	PCE	407.00	377.40	1.232	37.00	CARTON	800.00	1.00	37.00		45.20	100	"13,560.00"			
DA140000087086	I1400016	Approved		HONG KONG	FRLEH		LCL	MSC LA SPEZIA V.FT401R	09/01/2014	SEB-HKG0125172	DSV	10021016	MERCHANT CORPORATION LTD	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	02.01.2014	MERCHANT CORPORATION LTD	3	21-8493/X125937	000001	9322115375	00010	01	1502642404	2642404 INTERRUPTEUR GRIS HV8	NON GR OEM	8536508099		400	PCE	6.00	5.30	0.033	1.00	CARTON	400.00	38.00	38.00		45.20	100	"13,560.00"			
DA140000087086	I1400016	Approved		HONG KONG	FRLEH		LCL	MSC LA SPEZIA V.FT401R	09/01/2014	SEB-HKG0125172	DSV	10021016	MERCHANT CORPORATION LTD	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	02.01.2014	MERCHANT CORPORATION LTD	4	21-8646/X183806	000001	9322144505	00010	01	1502642404	2642404 INTERRUPTEUR GRIS HV8	NON GR OEM	8536508099		400	PCE	6.00	5.30	0.033	1.00	CARTON	400.00	38.00	38.00		45.20	100	"13,560.00"			
DA140000087095	21852	Completed	LEE CHRISTINE	YANTIAN	LE HAVRE	MOAU0525379	FCL20	HAMBURG EXPRESS V.008W01	09/01/2014	HKG0125528	DSV	10011964	WOO FUNG METAL WORKS LTD Ms Stella MAK	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	07.01.2014	WOO FUNG METAL WORKS	6	409386/302	000001	9322148233	00010	01	8080006277	0678682 SPATULE TS PRODUITS(M00492)117	NON GR OEM	3926909790	8080006266	9600	PCE	238.00	200.00	1.1	80.00	CARTON	120.00	1.00	80.00	1.00	11.33	100	"1,087.68"			
DA140000087095	21852	Completed	LEE CHRISTINE	YANTIAN	LE HAVRE	MOAU0525379	FCL20	HAMBURG EXPRESS V.008W01	09/01/2014	HKG0125528	DSV	10011964	WOO FUNG METAL WORKS LTD Ms Stella MAK	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	07.01.2014	WOO FUNG METAL WORKS	7	413206/055	000001	9322148240	00010	01	8090678897	0678897 KNOB HATCH RED	NON GR OEM	8509900000		6048	PCE	79.00	36.10	1	42.00	CARTON	144.00	1.00	42.00	1.00	15.88	100	960.42			
DA140000087095	21852	Completed	LEE CHRISTINE	YANTIAN	LE HAVRE	MOAU0525379	FCL20	HAMBURG EXPRESS V.008W01	09/01/2014	HKG0125528	DSV	10011964	WOO FUNG METAL WORKS LTD Ms Stella MAK	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	07.01.2014	WOO FUNG METAL WORKS	13	411530/082	000001	9322148316	00010	01	8080007521	0A01781 POIGNEE BUSE CAFE FRONT DIE CAST	NON GR OEM	3926909790		5016	PCE	105.20	72.40	1.1	57.00	CARTON	88.00	1.00	57.00	1.00	16.57	100	831.15			
DA140000087095	21852	Completed	LEE CHRISTINE	YANTIAN	LE HAVRE	MOAU0525379	FCL20	HAMBURG EXPRESS V.008W01	09/01/2014	HKG0125528	DSV	10011964	WOO FUNG METAL WORKS LTD Ms Stella MAK	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	07.01.2014	WOO FUNG METAL WORKS	14	410450/188	000001	9322148348	00010	01	8080006552	0A01423 GRILLE MOUTURE	NON GR OEM	8516900099	8080006552	4200	PCE	482.00	294.00	1.4	60.00	CARTON	70.00	1.00	60.00	2.00	52.43	100	"2,202.06"			
DA140000087095	21852	Completed	LEE CHRISTINE	YANTIAN	LE HAVRE	MOAU0525379	FCL20	HAMBURG EXPRESS V.008W01	09/01/2014	HKG0125528	DSV	10011964	WOO FUNG METAL WORKS LTD Ms Stella MAK	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	07.01.2014	WOO FUNG METAL WORKS	16	413798/011	000001	9322148372	00010	01	8080009916	0A09817 GRILLE DE CAPOT SUP FALCON3	NON GR OEM	8516900099		2520	PCE	235.60	210.00	1	42.00	CARTON	60.00	1.00	42.00	1.00	68.00	100	"1,713.60"			
